LotArea,YearBuilt,SalePrice,Age
9320,1959,128950,59
10603,1977,205000,41
9206,1985,178000,33
7018,1979,118964,39
10402,2009,198900,9
7758,1931,169500,87
9375,2003,250000,15
10800,1885,100000,133
6000,1948,115000,70
8500,1919,115000,99
11751,1977,190000,41
9525,1954,136900,64
7750,2000,180000,18
9965,2007,383970,11
21000,1953,217000,65
7259,1945,259500,73
3230,1999,176000,19
11616,1962,139000,56
8536,2006,155000,12
12376,1990,320000,28
8461,2005,163990,13
21453,1969,180000,49
6060,1939,100000,79
9464,1958,136000,60
7892,1993,153900,25
17043,1979,181000,39
6780,1935,84500,83
4928,1976,128000,42
4388,1930,87000,88
7590,1966,155000,52
8973,1958,150000,60
14200,1966,226000,52
12224,2000,244000,18
7388,1959,150750,59
6853,2001,220000,17
10335,1968,180000,50
10400,1970,174000,48
10355,1967,143000,51
11070,1988,171000,30
9066,1999,230000,19
15426,1997,231500,21
10500,1971,115000,47
11645,2005,260000,13
8520,1952,166000,66
10335,1999,204000,19
9100,1963,125000,55
2522,2004,130000,14
6120,1931,105000,87
9505,2001,222500,17
7500,2004,141000,14
6240,1936,115000,82
10356,1975,122000,43
13891,2007,372402,11
14803,1971,190000,47
13500,1960,235000,58
11340,1923,125000,95
9600,1924,79000,94
7200,1950,109500,68
12003,2009,269500,9
12552,2004,254900,14
19378,2005,320000,13
11120,1984,162500,34
13688,2003,412500,15
12182,2005,220000,13
5500,1956,103200,62
5400,1926,152000,92
10106,1940,127500,78
10708,1955,190000,63
10562,2007,325624,11
8244,2004,183500,14
16669,1981,228000,37
12358,1941,128500,77
31770,1960,215000,58
5306,1987,239000,31
10197,1961,163000,57
12416,1986,184000,32
12615,1950,243000,68
10029,1988,211000,30
13650,1958,172500,60
17423,2008,501837,10
8520,1923,100000,95
2117,2000,177000,18
7588,1920,200100,98
9060,1957,120000,61
11426,2003,200000,15
7438,1908,127000,110
22950,1892,475000,126
9947,1990,173000,28
10410,1916,135000,102
7018,1979,153337,39
4923,2001,286000,17
10570,1932,315000,86
7472,1972,184000,46
9017,1999,192000,19
2522,2004,130000,14
7180,1972,127000,46
2280,1976,148500,42
9416,2007,311872,11
25419,1918,235000,100
5520,1912,104000,106
9591,2004,274900,14
8546,2003,140000,15
10125,1977,171500,41
7000,1924,112000,94
4438,2004,149000,14
3500,1947,110000,71
11851,1990,180500,28
13673,1962,143900,56
12493,1960,141000,58
14364,1988,277000,30
8250,1964,145000,54
5604,1925,98000,93
10420,2009,186000,9
8640,2009,252678,9
13568,1995,156000,23
10900,1977,161750,41
10011,1957,134450,61
8450,2004,210000,14
9906,1925,107000,93
15660,1939,311500,79
3010,2005,167240,13
8990,2006,204900,12
8068,2002,200000,16
11475,1975,179900,43
10500,1971,97000,47
13472,2003,386250,15
1680,1971,112000,47
9950,1995,290000,23
1869,1970,106000,48
8521,1967,125000,51
3182,2005,192500,13
8760,1959,148000,59
15138,1995,403000,23
1680,1972,94500,46
10650,1976,128200,42
7851,2002,216500,16
1680,1971,89500,47
8773,2004,185500,14
9453,1993,194500,25
12030,2007,318000,11
8741,1945,113000,73
9000,2008,262500,10
3880,1945,110500,73
5000,1900,79000,118
10762,1980,120000,38
8880,1994,205000,24
10400,1988,241500,30
9142,1910,137000,108
11310,1954,140000,64
11317,2003,180000,15
159000,1958,277000,60
5350,1940,76500,78
4750,2006,235000,12
8366,2004,173000,14
9350,1964,158000,54
8400,1957,145000,61
8738,1999,230000,19
8791,2003,207500,15
8814,2006,220000,12
12435,2001,231500,17
12702,1956,97000,62
19296,1962,176000,56
9588,2007,276000,11
8471,1977,151000,41
5500,1929,130000,89
5232,1925,73000,93
12090,1981,175500,37
11207,1997,185000,21
8400,1939,179500,79
6900,1940,120500,78
7917,1976,148000,42
10728,2006,266000,12
39104,1954,241500,64
11764,1999,290000,19
9600,1958,139000,60
8314,1982,124500,36
7264,1925,205000,93
9196,2003,201000,15
19138,1951,141000,67
14450,2006,415298,12
10005,1977,192000,41
11287,1989,228500,29
7200,2006,185000,12
5063,2007,207500,11
9612,2008,244600,10
8012,1992,179200,26
4251,2006,164700,12
9786,1962,159000,56
8125,1971,88000,47
9819,1967,122000,51
8730,1915,153575,103
15611,2006,233230,12
5687,1912,135900,106
11409,1949,131000,69
16659,1977,235000,41
9600,1953,167000,65
7937,1984,142500,34
13710,1950,152000,68
7399,1997,239000,21
11700,1968,175000,50
14000,1950,158500,68
15750,1953,157000,65
16226,1998,267000,20
13704,2001,205000,17
9800,1972,149900,46
18386,1880,295000,138
10386,2004,305900,14
13474,1990,225000,28
7920,1920,89500,98
12342,1940,82500,78
12378,2003,360000,15
7685,1993,165600,25
8000,1948,132000,70
7800,1939,119900,79
215245,1965,375000,53
9600,1925,178000,93
7795,2004,188500,14
13005,1980,260000,38
9000,2006,270000,12
9900,1993,260000,25
14115,1980,187500,38
16259,2006,342643,12
12099,2004,354000,14
10380,1986,301000,32
5820,1955,126175,63
11275,1967,242000,51
5000,1941,87000,77
10846,1993,324000,25
11600,1960,145250,58
11888,1916,214500,102
6402,1920,78000,98
10624,1964,119000,54
8176,1958,139000,60
10655,2003,284000,15
8198,2004,207000,14
9042,1998,192000,20
164660,1965,228950,53
14157,2005,377426,13
9135,2002,214000,16
14145,1984,202500,34
12400,1958,155000,60
14191,2002,202900,16
8400,1950,82000,68
8544,1949,87500,69
8849,2005,266000,13
2592,1976,85000,42
6435,1939,140200,79
12772,1960,151500,58
17600,1960,157500,58
2448,2003,154000,15
20431,2005,437154,13
7820,2007,318061,11
5271,1986,190000,32
9084,1941,95000,77
8520,1928,105900,90
8400,1940,140000,78
11249,1995,177500,23
9248,1992,173000,26
4224,1976,134000,42
6930,1958,130000,60
12011,1998,280000,20
7540,1978,156000,40
9144,1940,145000,78
7301,2003,198500,15
1680,1972,118000,46
18800,1976,190000,42
10690,1920,147000,98
9500,1963,159000,55
9150,1962,165000,56
7800,1954,132000,64
9830,1959,162000,59
8121,2000,172400,18
17120,1959,134432,59
7175,1984,125000,34
10634,1953,123000,65
8200,2003,219500,15
10020,1922,61000,96
8846,1996,148000,22
11143,2004,340000,14
11394,2010,394432,8
8123,2000,179000,18
5000,1924,127000,94
7200,2006,187750,12
9245,2006,213500,12
9000,1928,76000,90
53107,1992,240000,26
3182,2004,192000,14
8410,1910,81000,108
7200,1976,125000,42
9382,1999,191000,19
12474,2007,426000,11
8405,1900,119000,118
12209,2001,215000,17
8339,1959,106500,59
7446,1941,100000,77
10134,1940,109000,78
9571,1956,129000,62
7200,1972,123000,46
7590,1962,169500,56
8967,1920,67000,98
8125,2006,241000,12
14963,1996,245500,22
8767,2005,164990,13
10200,1940,108000,78
12090,1998,258000,20
10364,1995,168000,23
9991,1976,150000,42
10480,1936,115000,82
15576,1915,177000,103
14154,2006,280000,12
10800,2007,339750,11
9571,1958,60000,60
34650,1955,145000,63
4403,2009,222000,9
8960,1927,115000,91
11228,1993,228000,25
8899,2007,181134,11
7844,1978,149500,40
22420,1918,239000,100
8160,1940,126000,78
8450,1968,142000,50
7060,1997,206300,21
16635,1977,215000,41
21750,1954,113000,64
9200,1998,315000,20
9000,1956,139000,62
3378,1946,135000,72
12800,1989,275000,29
8593,1957,109008,61
6762,2007,195400,11
11457,1988,175000,30
1680,1971,85400,47
5586,1920,79900,98
1920,1971,122500,47
10839,1997,181000,21
1890,1972,81000,46
10667,1996,212000,22
4400,1920,116000,98
6000,1926,119000,92
4280,1913,90350,105
12354,1920,110000,98
15431,2008,555000,10
12108,1955,118000,63
6240,1930,162900,88
3922,2006,172500,12
8750,1994,210000,24
9855,1956,127500,62
16492,1966,190000,52
11214,1998,199900,20
8600,1937,119500,81
6000,1948,120000,70
5684,1930,110000,88
70761,1975,280000,43
9303,1996,204000,22
9000,2008,210000,10
9297,1976,188000,42
9600,1973,175500,45
4571,1916,98000,102
53227,1954,256000,64
5100,1925,161000,93
7015,1950,110000,68
8004,2009,263435,9
7200,1936,155000,82
8281,1965,62383,53
11988,1934,188700,84
8430,1978,124000,40
3072,2004,178740,14
10628,1970,167000,48
9480,1942,146500,76
11428,2006,250000,12
9291,1993,187000,25
6820,1985,212000,33
11952,1977,190000,41
3675,2005,148000,13
14977,2006,440000,12
5330,2000,251000,18
8480,1963,132500,55
13125,1997,208900,21
13693,2006,380000,12
10637,2007,297000,11
5925,1937,89471,81
16033,2004,326000,14
11846,2003,374000,15
2500,1915,155000,103
4500,1998,164000,20
7758,1962,132500,56
9600,1950,147000,68
10289,1965,156000,53
12243,1971,175000,47
10800,1900,160000,118
1526,1970,86000,48
2665,1976,115000,42
9490,1941,133000,77
15578,2006,172785,12
7931,1960,155000,58
5784,1938,91300,80
7879,1920,34900,98
12692,1992,430000,26
9120,1925,184000,93
7800,1967,130000,51
7535,1958,120000,60
1890,1973,113000,45
9803,2005,226700,13
9170,1965,140000,53
15602,1959,289000,59
2308,1974,147000,44
7596,1952,124500,66
9554,1993,215000,25
7862,2009,208300,9
9600,1928,161000,90
9600,1959,124500,59
14559,1951,164900,67
6792,2005,202665,13
9100,1958,129900,60
9187,1983,134000,35
10594,1926,96500,92
12220,2009,402861,9
10448,1972,158000,46
10208,1996,265000,22
9531,1998,211000,20
10918,1926,234000,92
10800,1900,106250,118
11988,1957,150000,61
5000,1947,159000,71
40094,2007,184750,11
11787,1996,315750,22
7500,2005,176000,13
13300,1956,132000,62
14948,2008,446261,10
9098,1920,86000,98
32668,1957,200624,61
10200,1988,175000,30
6155,1920,128000,98
7200,1955,107500,63
5000,1946,39300,72
9056,2004,178000,14
7000,1910,107500,108
8924,1998,188000,20
12735,1972,111250,46
11553,1968,158000,50
11423,2001,272000,17
14601,2006,315000,12
11000,2000,248000,18
10140,1998,213250,20
4058,1998,133000,20
17104,2006,179665,12
13837,1988,229000,30
8737,1923,210000,95
7244,1970,129500,48
8235,1955,125000,63
9375,2003,263000,15
4043,1977,140000,41
6000,1957,112500,61
11146,2006,255500,12
8777,1949,108000,69
10625,2003,284000,15
6380,1922,113000,96
14850,1957,141000,61
11040,1920,108000,98
21872,1996,175000,22
3196,2003,234000,15
11341,1957,121500,61
10010,1974,170000,44
13907,1940,108000,78
21780,1918,185000,100
13346,1992,268000,26
6858,1915,128000,103
11198,2005,325000,13
10171,2004,214000,14
12327,1983,316600,35
7032,1979,135960,39
13101,1965,142600,53
7332,1959,120000,59
13159,2009,224500,9
9967,2000,170000,18
10500,1971,139000,47
8480,1947,118500,71
6292,1928,145000,90
11777,1966,164500,52
3604,2007,146000,11
12150,1954,131500,64
14585,1960,181900,58
12704,2008,253293,10
11841,1990,118500,28
13500,1893,325000,125
6120,1935,133000,83
11443,2005,369900,13
10267,1918,130000,100
8740,1982,137000,36
25095,1968,143000,50
9100,1930,79500,88
8320,2004,185900,14
13478,2008,451950,10
6600,1982,138000,36
4435,2003,140000,15
7990,1975,110000,43
11302,2005,319000,13
3600,1910,114504,108
3922,2006,194201,12
12984,1977,217500,41
1950,1980,151000,38
10927,2005,275000,13
9000,1937,141000,81
10041,1992,220000,26
3182,2004,151000,14
12803,2002,221000,16
13600,1965,205000,53
12464,1996,152000,22
7800,1948,225000,70
12168,1934,359100,84
7943,1961,118500,57
11050,2000,313000,18
10395,1978,148000,40
11885,2001,261500,17
8402,2007,147000,11
1491,1972,75500,46
8800,1963,137500,55
7861,2002,183200,16
7227,1954,105500,64
11694,2007,314813,11
12244,2003,305000,15
8248,1914,67000,104
10800,1974,240000,44
7064,1977,135000,41
2117,2000,168500,18
10400,1972,165150,46
10000,1962,160000,56
12342,1960,139900,58
9600,1955,153000,63
11606,1969,135000,49
9020,1964,168500,54
9000,1880,124000,138
4590,2006,209500,12
11900,1977,82500,41
9250,1954,139400,64
6979,1980,144000,38
10896,1914,200000,104
6120,1936,60000,82
6000,1954,93000,64
8777,1910,85000,108
3982,2006,264561,12
12677,2003,274000,15
7050,2001,226000,17
13860,1972,345000,46
10793,1969,152000,49
9187,2009,370878,9
10530,1971,143250,47
7200,1950,98300,68
10452,1953,155000,65
7700,1966,155000,52
1936,1970,84500,48
8125,2007,205950,11
9084,1940,108000,78
8750,1996,191000,22
10320,1906,135000,112
10437,1995,350000,23
1680,1971,88000,47
10007,1959,145500,59
7200,1931,149000,87
17503,1948,97500,70
9937,1964,167000,54
12384,1976,197900,42
46589,1994,402000,24
13560,1968,110000,50
10012,1972,137500,46
20896,2005,423000,13
11194,2000,230500,18
18450,1965,129000,53
8125,1994,193500,24
14175,1956,168000,62
11600,1922,137500,96
8633,2005,173500,13
6629,1925,103600,93
11250,1977,165000,41
14442,1957,257500,61
9200,1965,140000,53
2289,1978,148500,40
9600,1900,87000,118
9022,1924,109500,94
11844,2008,372500,10
9945,1961,128500,57
8012,1980,143000,38
4500,1932,159434,86
2887,1996,173000,22
11248,2002,285000,16
16770,1998,221000,20
5062,1984,207500,34
10207,2007,227875,11
5105,2004,148800,14
8089,2007,392000,11
7577,2005,194700,13
4426,2004,141000,14
21535,1994,755000,24
26178,1989,335000,29
5400,1921,108480,97
6120,1936,141500,82
13811,1987,176000,31
6000,1921,89000,97
6420,1952,123500,66
8450,1965,138500,53
4282,2004,196000,14
14331,2002,312500,16
9600,1969,140000,49
12438,2006,361919,12
7630,1900,140000,118
8400,2004,213000,14
5600,1930,55000,88
115149,1971,302000,47
6240,2006,254000,12
9018,2007,179540,11
7162,1966,109900,52
4130,1935,52000,83
8712,1900,102776,118
4671,1988,189000,30
9873,1970,129000,48
13517,1976,130500,42
10140,1974,165000,44
10800,1890,159500,128
10000,1973,157000,45
10542,1993,341000,25
9920,1969,128500,49
6563,1985,275000,33
4426,2004,143000,14
8120,1970,124500,48
8172,1954,135000,64
13286,2007,320000,11
6960,1970,120500,48
21695,1988,222000,30
7314,2007,194500,11
11475,1958,110000,60
6240,1925,103000,93
5389,1995,236500,23
9590,2003,187500,15
11404,1998,222500,20
10000,1961,131400,57
8978,1968,108000,50
10800,1914,163000,104
8544,1950,93500,68
10463,2005,239900,13
10800,1987,179000,31
9313,2004,190000,14
9600,1910,132000,108
6768,1961,142000,57
8450,2000,179000,18
12886,1963,175000,55
5395,1993,180000,25
8963,1976,299800,42
8795,2000,236000,18
11700,1880,265979,138
10593,1996,260400,22
8405,1945,98000,73
8800,1910,96500,108
7750,2003,162000,15
9236,1997,217000,21
10240,2005,275500,13
7930,1969,156000,49
3230,1999,172500,19
10769,2007,212000,11
11616,1978,158900,40
2280,1999,179400,19
12257,1995,290000,23
9100,1959,127500,59
6911,1924,100000,94
8640,2009,215200,9
9430,1999,337000,19
9549,1995,270000,23
14587,2008,264132,10
10421,1988,196500,30
12508,1940,160000,78
9100,2004,216837,14
53504,2003,538000,15
7252,1982,134900,36
8877,1951,102000,67
7819,1976,107000,42
10150,1958,114500,60
14226,2006,395000,12
4500,1998,162000,20
11210,2005,221500,13
13350,1974,142500,44
8400,1977,144000,41
10530,1977,135000,41
7875,1995,176000,23
7153,1992,175900,26
16285,2001,187100,17
9101,1978,165500,40
6300,1914,128000,104
9790,1967,161500,51
10800,1915,139000,103
10142,2004,233000,14
6000,1954,107900,64
12205,1966,187500,52
3182,2005,160200,13
11333,1976,146800,42
9920,1996,269790,22
9158,2007,225000,11
10832,1994,194500,24
8400,1980,171000,38
8197,1977,143500,41
7677,1953,110000,65
13518,2008,485000,10
7200,1937,175000,81
12798,1997,200000,21
4800,1916,109900,102
8199,2005,189000,13
13891,2008,582933,10
9000,1954,118000,64
12274,2008,227680,10
9750,1967,135500,51
21384,1923,223500,95
13400,1966,159950,52
8100,1898,106000,120
10140,1974,181000,44
4438,2004,144500,14
8712,1952,55993,66
9750,1958,157900,60
8248,1918,116000,100
12137,1998,224900,20
11425,1954,137000,64
13265,2002,271000,16
8816,1971,155000,47
6371,2009,224000,9
7226,2003,183000,15
6000,1953,93000,65
12394,2003,225000,15
9900,1940,139500,78
11216,2006,232600,12
14803,2007,385000,11
6130,1924,109500,94
8529,2001,189000,17
28698,1967,185000,51
2544,2005,147400,13
11900,1957,166000,61
3180,2005,151000,13
9548,2003,237000,15
10004,1964,167000,54
7875,1961,139950,57
9600,1950,128000,68
8100,1948,153500,70
1680,1973,100000,45
9525,1995,144000,23
11767,1946,130500,72
12155,1925,140000,93
10440,1904,157500,114
9020,1966,174900,52
8000,1961,141000,57
12665,1915,153900,103
16647,1975,171000,43
9317,1993,213000,25
15523,1972,133500,46
45600,1908,240000,110
9600,1976,187000,42
4435,2003,131500,15
3196,2003,215000,15
7128,1941,164000,77
12095,1964,158000,54
17920,1955,170000,63
6897,1962,127000,56
10970,1978,147000,40
8125,1994,174000,24
10400,1976,152000,42
11029,1968,250000,50
7642,1918,189950,100
11625,1965,131500,53
9672,1984,152000,34
7931,1959,132500,59
8640,2007,250580,11
8750,1970,148500,48
10656,2006,248900,12
6970,1961,129000,57
14762,1948,169000,70
9938,1993,236000,25
6600,1962,109500,56
8750,1998,200500,20
8892,1953,116000,65
12144,1949,133000,69
5720,1941,66500,77
9000,2007,303477,11
25286,1963,132250,55
8834,2004,350000,14
11782,1961,148000,57
7000,1978,136500,40
7024,2005,157000,13
13758,1990,187500,28
9636,1992,178000,26
6204,1912,118500,106
7150,1967,100000,51
5119,1999,328900,19
8393,1959,145000,59
16466,1955,135500,63
15865,1970,268000,48
12160,1953,149500,65
8064,1949,122900,69
11184,1978,172500,40
8414,1963,154500,55
13284,1954,165000,64
7018,1979,118858,39
7056,1963,140000,55
8765,1936,106500,82
7018,1979,142953,39
12919,2009,611657,9
6993,1961,135000,57
7340,1971,110000,47
8712,1957,153000,61
7875,2003,180000,15
14859,2006,240000,12
6173,1967,125500,51
9920,1954,128000,64
13501,2006,255000,12
11500,1936,250000,82
8885,1983,131000,35
12589,2005,174000,13
11600,1960,154300,58
9286,1977,143500,41
6120,1925,88000,93
6270,1949,145000,69
3000,2009,173733,9
2001,1970,75000,48
9000,1949,35311,69
17140,1956,135000,62
13125,1991,238000,27
11029,1958,176500,60
8462,1994,201000,24
8777,1900,145900,118
10237,2005,169990,13
8012,1993,193000,25
10240,1980,207500,38
15611,1977,175000,41
11999,2003,285000,15
9900,1968,176000,50
11838,2001,236500,17
13006,1997,222000,21
8925,2007,201000,11
9100,1965,117500,53
11670,2006,320000,12
8487,2004,190000,14
27650,1960,242000,58
5825,1926,79900,92
10083,2003,184900,15
9675,2005,253000,13
8760,2006,239799,12
24090,1940,244400,78
12640,1976,150900,42
8755,1999,214000,19
7711,1977,150000,41
25000,1967,143000,51
14375,1958,137500,60
8820,1890,124900,128
8163,1959,143000,59
14536,2002,270000,16
14006,2002,192500,16
9360,1972,197500,46
7200,1950,129000,68
7800,1965,119900,53
7200,1972,133900,46
11075,1969,172000,49
9400,1975,127500,43
7136,1946,145000,72
1300,1980,124000,38
7420,1962,132000,56
8450,2003,185000,15
2572,1999,155000,19
7207,1958,116500,60
12227,1977,272000,41
2308,1976,155000,42
11923,2007,239000,11
11316,2002,214900,16
10237,2005,178900,13
9600,1940,160000,78
7390,1955,135000,63
5925,1910,37900,108
10382,1958,140000,60
10800,1949,135000,69
2268,2003,173000,15
7892,1979,99500,39
11639,2007,182000,11
11414,1910,167500,108
2651,2000,165000,18
5900,1923,85500,95
4274,2006,199900,12
9450,1954,110000,64
8816,1963,139000,55
12122,1961,178400,57
12203,1998,336000,20
3182,2007,159895,11
11250,2002,255900,16
10125,1977,126000,41
10880,1950,125000,68
5310,1910,117000,108
10159,2009,395192,9
12046,1976,195000,42
8125,2006,197000,12
9452,1997,348000,21
17671,1882,168000,136
9760,1964,187000,54
8846,2005,173900,13
12456,2006,337500,12
4712,1946,121600,72
10659,1961,136500,57
11717,1970,185000,48
9786,1922,91000,96
6762,2006,206000,12
10206,1952,82000,66
5400,1920,86000,98
11957,2006,232000,12
11500,1976,136905,42
3182,2005,181000,13
8385,1977,149900,41
12155,1970,163500,48
2217,1970,88000,48
12118,2004,240000,14
6000,1926,102000,92
21286,1948,135000,70
9825,1965,100000,53
10592,1923,165000,95
7200,1910,85000,108
11664,1948,119200,70
8400,2001,227000,17
11883,1996,203000,22
5814,1984,187500,34
10784,1991,160000,27
3013,2005,213490,13
7024,2005,176000,13
7406,2006,194000,12
9439,1930,87000,88
3182,2005,191000,13
15498,1976,287000,42
7700,1972,112500,46
9300,1960,167500,58
9520,2007,293077,11
9492,1941,105000,77
1680,1972,118000,46
7082,1916,160000,102
15863,1920,197000,98
14541,1993,310000,25
8125,2002,230000,16
6305,1938,119750,80
11500,1957,84000,61
12898,2007,315500,11
9240,2001,287000,17
1533,1970,97000,48
1477,1970,80000,48
13125,1957,155000,61
9130,1966,173000,52
5381,2005,196000,13
11839,1990,262280,28
9600,1981,278000,37
13680,1955,139600,63
16056,2005,556581,13
9245,1994,145000,24
21750,1960,115000,58
11100,1946,84900,72
8993,2007,176485,11
11175,2007,200141,11
9500,1964,165000,54
8562,1957,144500,61
11367,2002,255000,16
11361,1976,180000,42
7052,2005,185850,13
29959,1994,248000,24
11308,2008,335000,10
11275,1932,220000,86
4920,2001,213500,17
18000,1935,81000,83
13600,1900,90000,118
6000,1925,110500,93
11000,1966,154000,52
14000,1996,328000,22
7837,1993,178000,25
9760,1964,167900,54
3964,1973,151400,45
9600,1949,135000,69
10152,1956,135000,62
11700,1968,154000,50
7585,1948,91500,70
7950,1977,159500,41
8556,2006,194000,12
13125,1940,219500,78
10800,1936,170000,82
15870,1969,138800,49
4435,2004,155900,14
8775,1994,126000,24
11040,1971,145000,47
7500,1963,133000,55
8749,2002,192000,16
8800,1964,160000,54
13031,1995,187500,23
9069,1992,147000,26
1974,1973,83500,45
10574,2005,252000,13
2522,2004,137500,14
3316,2005,197000,13
8544,1950,92900,68
2160,1999,160000,19
8400,1925,136500,93
9230,1965,146000,53
5868,1956,129000,62
9317,2006,176432,12
6882,1914,127000,104
3696,1986,170000,32
6000,1936,128000,82
11880,1978,157000,40
8400,1920,60000,98
9758,1971,119500,47
7000,1960,135000,58
8910,1959,159500,59
2016,1970,106000,48
12256,1994,325000,24
10357,1990,179900,28
23257,2006,274725,12
8063,2000,181000,18
11362,2004,280000,14
8000,1995,188000,23
10480,1976,205000,42
7100,1957,129900,61
8923,1953,134500,65
5400,1954,117000,64
12085,2007,318000,11
7750,2002,184100,16
9764,1967,130000,51
13825,1958,140000,60
7560,1959,133700,59
8263,1920,118400,98
10084,2005,212900,13
8926,1956,112000,62
9405,1947,118000,71
9125,1992,163900,26
10434,1955,115000,63
3684,2007,174000,11
14572,2004,259000,14
11796,2004,215000,14
7200,1980,140000,38
7804,1928,135000,90
10712,1991,93500,27
9900,1880,117500,138
9828,1995,239500,23
8773,1997,169000,21
6180,1926,102000,92
9600,1950,119000,68
6342,1875,94000,143
9819,1977,196000,41
8731,1920,144000,98
7350,1951,139000,67
10304,1976,197500,42
9965,2006,424870,12
9000,1959,80000,59
12180,1941,80000,77
6240,1928,149000,90
11200,1985,180000,33
12000,1941,174500,77
5700,1926,116900,92
9000,1920,143000,98
8280,1950,124000,68
17755,1959,149900,59
14115,1956,230000,62
5890,1930,120500,88
13700,1965,201800,53
10768,1976,218000,42
9350,1965,179900,53
5001,2007,230000,11
11932,2007,235128,11
9120,1974,185000,44
2280,1978,146000,40
14778,1954,224000,64
8724,1968,129000,50
12900,1969,108959,49
16157,1978,194000,40
9541,2009,233170,9
10475,2008,245350,10
10852,2000,173000,18
13728,1935,235000,83
35760,1995,625000,23
9880,1977,171000,41
9120,1958,163000,60
4017,2006,171900,12
18030,1946,200500,72
16560,1932,239000,86
10678,1992,285000,26
6951,1984,119500,34
3950,1926,115000,92
7681,1921,154900,97
8335,1954,93000,64
11170,1990,250000,28
5587,2008,392500,10
15623,1996,745000,22
10800,1920,120000,98
35133,1963,186700,55
9738,1924,104900,94
10615,1900,95000,118
12461,1994,262000,24
8935,2002,195000,16
7500,1999,189000,19
32463,1961,168000,57
2645,1999,174000,19
9600,1925,125000,93
4500,1999,165000,19
9364,1969,158000,49
8029,2005,176000,13
14054,2006,219210,12
8850,1916,144000,102
9100,2001,178000,17
11235,1963,148000,55
9353,1970,116050,48
10400,1998,197900,20
6000,1925,117000,93
9750,2000,213000,18
10140,1975,153500,43
14684,1990,271900,28
8900,1966,107000,52
9135,2003,200000,15
7763,1962,140000,56
10182,2006,290000,12
11218,1992,189000,26
12134,1988,164000,30
9340,1941,113000,77
10246,1965,145000,53
10205,1962,134500,56
7094,1966,125000,52
8930,1978,112000,40
8640,2009,229456,9
6240,1947,80500,71
1680,1971,91500,47
7800,1964,115000,54
8250,1968,134000,50
10496,1949,143000,69
10680,1951,137900,67
15384,2004,184000,14
10482,1958,145000,60
14598,2007,214000,11
8872,1965,147000,53
8769,2008,367294,10
7910,1960,127000,58
18890,1977,190000,41
7728,1962,132500,56
9842,1962,101800,56
12160,1959,142000,59
8525,1911,130000,107
13132,1914,138887,104
2628,2003,175500,15
12393,2004,195000,14
13072,2005,142500,13
9037,2006,265900,12
8158,2003,224900,15
9849,2007,248328,11
10625,1974,170000,44
13891,2006,465000,12
11435,1929,230000,89
12090,1984,178000,34
8125,2005,186500,13
12328,1976,169900,42
9600,1917,129500,101
7200,1950,119000,68
11160,1968,244000,50
3136,2003,171750,15
9858,1968,130000,50
17542,1974,294000,44
6931,2003,165400,15
6240,1931,127500,87
14303,1994,301500,24
4060,1922,99900,96
9587,2005,190000,13
9750,1969,151000,49
24682,1999,181000,19
9600,1956,128900,62
11250,1957,161500,61
13515,1919,180500,99
4060,1998,181000,20
3735,1999,183900,19
10120,1910,122000,108
13214,2008,378500,10
